record_id,resource,linked_work,artifact_type,canonical_url,status,license,version_or_commit,last_verified,reproduction_scope,verification_note
RMSEER-DATA,RadioMapSeer,Yapar2022RadioMapSeer,dataset,https://radiomapseer.github.io/,unclear-license,not-recorded,project-page,2026-07-18,2D pathloss maps,"Public download and DataPort DOI observed; redistribution terms require record-level confirmation"
RUNET-CODE,RadioUNet,Levie2021RadioUNet,code,https://github.com/RonLevie/RadioUNet,unclear-license,not-recorded,default-branch,2026-07-18,2D reconstruction notebooks,"Executable notebooks observed; license not recorded in audit"
DMIMO-TOOL,DeepMIMO,Alkhateeb2019DeepMIMO,dataset-toolchain,https://github.com/DeepMIMO/DeepMIMO,unclear-license,not-recorded,v4,2026-07-18,configurable ray-traced channel data,"Package, scenarios, and documentation observed"
DREM-DATA,DeepREM,ChavesVillota2023DeepREM,dataset,https://explore.openaire.eu/search/result?pid=10.5281%2Fzenodo.7839447,unclear-license,record-check-required,Zenodo-record,2026-07-18,sparse REM experiments,"Dataset record observed; license needs confirmation in canonical record"
DREM-MODEL,DeepREM,ChavesVillota2023DeepREM,model,https://explore.openaire.eu/search/result?pid=10.5281%2Fzenodo.7839447,unclear-license,record-check-required,Zenodo-record,2026-07-18,baseline inference,"Paper and record state trained-model availability"
DREM-DEMO,DeepREM,ChavesVillota2023DeepREM,demo,https://explore.openaire.eu/search/result?pid=10.5281%2Fzenodo.7839447,unclear-license,record-check-required,Zenodo-record,2026-07-18,interactive REM inspection,"Streamlit app described in record"
SNET-DATA,SpectrumNet,Zhang2024SpectrumNet,dataset,https://github.com/ShuhangZhang/FDRadiomap,unclear-license,not-recorded,default-branch,2026-07-18,multiband and 3D maps,"Scenario archives and full-data link observed"
SNET-CODE,SpectrumNet,Zhang2024SpectrumNet,code,https://github.com/ShuhangZhang/FDRadiomap,unavailable,not-applicable,not-observed,2026-07-18,none,"Training code and checkpoints were not observed in the audit"
UR3D-DATA,UrbanRadio3D,Wang2025RadioDiff3D,dataset,https://github.com/UNIC-Lab/UrbanRadio3D,open,MIT,repository-release,2026-07-18,volumetric radio maps,"Dataset links, metadata, and MIT license observed"
UR3D-SPLIT,UrbanRadio3D,Wang2025RadioDiff3D,evaluation-protocol,https://github.com/UNIC-Lab/UrbanRadio3D,open,MIT,recommended-splits,2026-07-18,train/test partition,"Recommended splits documented"
RDIFF-CODE,RadioDiff,Wang2024RadioDiff,code,https://github.com/UNIC-Lab/RadioDiff,unclear-license,not-recorded,default-branch,2026-07-18,training and inference,"Scripts observed; license not recorded in audit"
RDIFF-MODEL,RadioDiff,Wang2024RadioDiff,model,https://github.com/UNIC-Lab/RadioDiff,restricted,author-request,weights-by-request,2026-07-18,checkpoint-assisted inference,"README directs users to request pretrained weights"
RMM-DATA,RadioMapMotion,Cheng2026RadioMapMotion,dataset,https://github.com/UNIC-Lab/RadioMapMotion,unclear-license,not-recorded,repository-data-parts,2026-07-18,dynamic map forecasting,"Dataset parts and structure observed"
RMM-CODE,RadioMapMotion,Cheng2026RadioMapMotion,code,https://github.com/UNIC-Lab/RadioMapMotion,unclear-license,not-recorded,default-branch,2026-07-18,training and testing,"Training and test commands observed"
RMM-PROTO,RadioMapMotion,Cheng2026RadioMapMotion,evaluation-protocol,https://github.com/UNIC-Lab/RadioMapMotion,unclear-license,not-recorded,documented-splits,2026-07-18,forecast split and horizon,"Split sizes and commands observed"
R2NET-DATA,3DiRM3200/R2Net,Rao2026R2Net,dataset,https://github.com/lighttime2023/3DiRM3200,unclear-license,not-recorded,default-branch,2026-07-18,indoor 3D RME,"Full dataset statement observed"
R2NET-CODE,3DiRM3200/R2Net,Rao2026R2Net,code,https://github.com/lighttime2023/3DiRM3200,unclear-license,not-recorded,notebooks,2026-07-18,R2Net experiments,"Notebooks observed"
R2NET-MODEL,3DiRM3200/R2Net,Rao2026R2Net,model,https://github.com/lighttime2023/3DiRM3200,restricted,not-recorded,partial-checkpoint,2026-07-18,partial model inference,"One lightweight checkpoint is public; other weights require author contact"
CKMI-DATA,CKMImageNet,Wu2025CKMImageNet,dataset,https://github.com/zyktzCKM/CKMImageNet,unclear-license,not-recorded,scenario-folders,2026-07-18,gain delay AOA and AOD maps,"Scenario and channel-knowledge files observed"
CKMI-CODE,CKMImageNet,Wu2025CKMImageNet,code,https://github.com/zyktzCKM/CKMImageNet,unavailable,not-applicable,not-observed,2026-07-18,none,"Training code was not observed in the audit"
GFRME-DATA,Grid-Free Radio Map Estimation,Chen2025GridFreeRME,dataset,https://github.com/XNChenSRIBD/Grid-Free-Radio-Map-Estimation,unclear-license,not-recorded,default-branch,2026-07-18,continuous field estimation,"Data directory observed"
GFRME-CODE,Grid-Free Radio Map Estimation,Chen2025GridFreeRME,code,https://github.com/XNChenSRIBD/Grid-Free-Radio-Map-Estimation,unclear-license,not-recorded,default-branch,2026-07-18,runnable grid-free estimation,"Requirements and run script observed"
RMDIR-DATA,RMDirectionalBerlin,Jaensch preprint,dataset,https://zenodo.org/records/13834313,unclear-license,record-check-required,Zenodo-record,2026-07-18,directional radio maps,"Dataset and code links observed; journal status not confirmed"
MOBI-DATA,MobiSim RadioMap,NeurIPS 2026 anonymous submission,dataset,https://huggingface.co/datasets/MobiSim/MobiSim,open,MIT,dataset-card,2026-07-18,RSRP and SINR maps,"Dataset card records MIT license and simulator limits"
MCONF-DATA,Multi-config Radiomap Dataset,Li2026 preprint,dataset,https://huggingface.co/datasets/lxj321/Multi-config-Radiomap-Dataset,open,MIT,dataset-card,2026-07-18,multiband and beam-map prediction,"Dataset card records MIT license"
MCONF-CODE,Multi-config Radiomap Dataset,Li2026 preprint,code,https://huggingface.co/datasets/lxj321/Multi-config-Radiomap-Dataset,unclear-license,not-recorded,linked-repository,2026-07-18,baseline training,"Linked code reported; code license requires confirmation"
MCONF-MODEL,Multi-config Radiomap Dataset,Li2026 preprint,model,https://huggingface.co/datasets/lxj321/Multi-config-Radiomap-Dataset,unclear-license,not-recorded,pretrained-release,2026-07-18,baseline inference,"Pretrained support reported; model license requires confirmation"
RCKM-DATA,Real-world CKM Dataset,Wang2025 preprint,dataset,https://github.com/ycw671/CKM-Dataset,restricted,not-recorded,partial-release,2026-07-18,CIR PDP RSS and point clouds,"Repository states that only part of the data is available"
EAC-CODE,Environment Aware Communications,Zeng2024CKMTutorial lineage,code,https://github.com/xuxiaoli-seu/Environment_Aware_Communications,unclear-license,not-recorded,default-branch,2026-07-18,CKM examples,"MATLAB and Python examples observed"
CKMSIM-CODE,Channel-Knowledge-Map simulation,CKM simulation context,code,https://github.com/xuxiaoli-seu/Channel-Knowledge-Map-,unclear-license,not-recorded,default-branch,2026-07-18,channel-parameter simulations,"Scripts observed; publication linkage is weak"
INDEX-PAPER,Awesome Radio Map Categorized,community index,index,https://github.com/UNIC-Lab/Awesome-Radio-Map-Categorized,unclear-license,not-recorded,default-branch,2026-07-18,paper and code discovery,"Discovery index; not a reproduction package for one result"
